project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,,,
https://github.com/Tiramisu-Compiler/tiramisu,FALSE,TRUE,14,2301,85,14,https://api.github.com/users/rbaghdadi,TRUE,,,
https://github.com/titu1994/Neural-Style-Transfer,FALSE,TRUE,8,289,1370,280,https://api.github.com/users/titu1994,TRUE,Neural Style Transfer Implementation from a Paper,,
https://github.com/facebookresearch/pytext,FALSE,TRUE,24,134,4592,438,https://api.github.com/users/snisarg,TRUE,,,
https://github.com/analysiscenter/batchflow,FALSE,TRUE,9,2143,97,25,https://api.github.com/users/roman-kh,TRUE,,,
https://github.com/mlbench/mlbench-old,FALSE,TRUE,7,314,44,8,https://api.github.com/users/LiamHe,TRUE,Deprecated Repo,,
https://github.com/IntelAI/inference-model-manager,FALSE,TRUE,10,212,33,3,https://api.github.com/users/mareklevv,TRUE,,,
https://github.com/onnx/onnx-coreml,FALSE,TRUE,12,526,165,33,https://api.github.com/users/onnxbot,TRUE,,,
https://github.com/gheinrich/DIGITS-GAN,FALSE,TRUE,35,1482,93,34,https://api.github.com/users/lukeyeager,TRUE,,,
https://github.com/Microsoft/samples-for-ai,FALSE,TRUE,33,326,409,158,https://api.github.com/users/TobeyQin,TRUE,Samples for getting started with deep learning across TensorFlow, CNTK, Theano and more.
https://github.com/MoonchildProductions/UXP,FALSE,TRUE,60,1680,174,30,https://api.github.com/users/janekptacijarabaci,TRUE,,,
https://github.com/r9y9/deepvoice3_pytorch,FALSE,TRUE,9,188,866,180,https://api.github.com/users/r9y9,TRUE,,,
https://github.com/bethgelab/foolbox,FALSE,TRUE,14,581,815,154,https://api.github.com/users/jonasrauber,TRUE,,,
https://github.com/hpi-xnor/BMXNet-v2,FALSE,TRUE,385,7337,56,5,https://api.github.com/users/tqchen,TRUE,,,
https://github.com/tpys/face-recognition-caffe2,FALSE,TRUE,152,2112,39,11,https://api.github.com/users/Yangqing,TRUE,,,
https://github.com/Zhaoyi-Yan/Shift-Net_pytorch,FALSE,TRUE,5,112,91,23,https://api.github.com/users/Zhaoyi-Yan,TRUE,,,
https://github.com/onnxbot/onnx-fb-universe,FALSE,TRUE,15,3106,20,17,https://api.github.com/users/onnxbot,TRUE,,,
https://github.com/Kaggle/docker-python,FALSE,TRUE,91,966,874,458,https://api.github.com/users/nerdcha,TRUE,,,
https://github.com/dpressel/baseline,FALSE,TRUE,7,1121,198,49,https://api.github.com/users/dpressel,TRUE,,,
https://github.com/nathanvogel/DeepMaps,FALSE,TRUE,26,307,19,1,https://api.github.com/users/junyanz,TRUE,,,
https://github.com/IBM/mi-prometheus,FALSE,TRUE,9,1678,18,10,https://api.github.com/users/tkornut,TRUE,,,
https://github.com/Leinao/LeinaoPAI,FALSE,TRUE,30,232,30,39,https://api.github.com/users/xwzheng1020,TRUE,Description in Chinese, not in English,
https://github.com/ToontownInfinite/src,FALSE,TRUE,14,1841,21,96,https://api.github.com/users/xPythonic,TRUE,,,
https://github.com/Kitware/VIAME,FALSE,TRUE,17,2628,43,33,https://api.github.com/users/mattdawkins,TRUE,,,
https://github.com/VLOGroup/tensorflow-icg,FALSE,TRUE,380,22914,12,4,https://api.github.com/users/tensorflower-gardener,TRUE,Tensorflow itself,,
https://github.com/sgnlplabeling/nlp_labeling,FALSE,TRUE,10,160,26,11,https://api.github.com/users/sgnlplabeling,TRUE,Description in Chinese, not in English,
https://github.com/neuro-ml/deep_pipe,FALSE,TRUE,10,739,10,5,https://api.github.com/users/Egor-Krivov,TRUE,,,
https://github.com/cornellius-gp/gpytorch,FALSE,TRUE,23,1834,1051,121,https://api.github.com/users/jacobrgardner,TRUE,,,
https://github.com/NervanaSystems/nervanagpu,FALSE,TRUE,6,109,246,62,https://api.github.com/users/scott-gray,TRUE,Deprecated Repo,,
https://github.com/moravianlibrary/CPK,FALSE,TRUE,74,11835,11,2,https://api.github.com/users/demiankatz,TRUE,,,
https://github.com/CeLuigi/models-comparison.pytorch,FALSE,TRUE,11,135,44,5,https://api.github.com/users/Cadene,TRUE,Code for the Paper,,
https://github.com/vseloved/prj-nlp,FALSE,TRUE,20,594,23,22,https://api.github.com/users/vseloved,TRUE,Materials for Courses,,
https://github.com/r9y9/wavenet_vocoder,FALSE,TRUE,9,190,836,217,https://api.github.com/users/r9y9,TRUE,,,
https://github.com/pyjs/pyjs,FALSE,TRUE,37,980,928,196,https://api.github.com/users/keesbos,TRUE,,,
https://github.com/kubedb/apimachinery,FALSE,TRUE,14,471,30,4,https://api.github.com/users/tamalsaha,TRUE,,,
https://github.com/Pinafore/cl1-hw,FALSE,TRUE,6,148,8,36,https://api.github.com/users/ezubaric,TRUE,Homework Assignments for Course,,
https://github.com/StanfordSNR/puffer,FALSE,TRUE,7,1449,160,22,https://api.github.com/users/francisyyan,TRUE,,,
https://github.com/Microsoft/malmo,FALSE,TRUE,23,1465,3150,490,https://api.github.com/users/DaveyBiggers,TRUE,,,
https://github.com/pytorch/translate,FALSE,TRUE,35,369,418,81,https://api.github.com/users/jhcross,TRUE,,,
https://github.com/deepgram/kur,FALSE,TRUE,11,576,787,108,https://api.github.com/users/ajsyp,TRUE,,,
https://github.com/mratsim/Arraymancer,FALSE,TRUE,13,701,393,37,https://api.github.com/users/mratsim,TRUE,,,
https://github.com/facebookresearch/maskrcnn-benchmark,FALSE,TRUE,48,104,4111,799,https://api.github.com/users/fmassa,TRUE,,,
https://github.com/ncullen93/torchsample,FALSE,TRUE,10,102,1162,200,https://api.github.com/users/ncullen93,TRUE,,,
https://github.com/mdbloice/Augmentor,FALSE,TRUE,18,483,2868,524,https://api.github.com/users/mdbloice,TRUE,,,
https://github.com/unarxiv/CVTron,FALSE,TRUE,8,239,89,13,https://api.github.com/users/xzyaoi,TRUE,,,
https://github.com/markblundeberg/coinsplitter,FALSE,TRUE,222,4746,11,5,https://api.github.com/users/ecdsa,TRUE,,,
https://github.com/ilastik/ilastik,FALSE,TRUE,40,6937,142,79,https://api.github.com/users/stuarteberg,TRUE,,,
https://github.com/appscode/stash,FALSE,TRUE,18,694,473,38,https://api.github.com/users/tamalsaha,TRUE,,,
https://github.com/jacobeisenstein/gt-nlp-class,FALSE,TRUE,8,666,2953,749,https://api.github.com/users/jacobeisenstein,TRUE,Course Materials,,
https://github.com/intel-analytics/analytics-zoo,FALSE,TRUE,42,953,381,139,https://api.github.com/users/hkvision,TRUE,,,
https://github.com/SuperTux/flexlay,FALSE,TRUE,6,1261,10,2,https://api.github.com/users/Grumbel,TRUE,,,
https://github.com/viking-sudo-rm/StackNN,FALSE,TRUE,7,381,135,16,https://api.github.com/users/viking-sudo-rm,TRUE,,,
https://github.com/cajal/pipeline,FALSE,TRUE,12,1994,8,20,https://api.github.com/users/ecobost,TRUE,,,
https://github.com/zalandoresearch/flair,FALSE,TRUE,29,1009,5064,393,https://api.github.com/users/alanakbik,TRUE,,,
https://github.com/leVirve/pixel-styler,FALSE,TRUE,18,171,11,1,https://api.github.com/users/junyanz,TRUE,,,
https://github.com/probtorch/probtorch,FALSE,TRUE,7,175,566,49,https://api.github.com/users/jwvdm,TRUE,,,
https://github.com/bcmi/stock-price-prediction,FALSE,TRUE,52,247,3,62,https://api.github.com/users/Yiyi16,TRUE,Class Project,,
https://github.com/baidu/AdvBox,FALSE,TRUE,6,220,413,86,https://api.github.com/users/duoergun0729,TRUE,,,
https://github.com/deepppl/deepppl,FALSE,TRUE,5,262,11,2,https://api.github.com/users/jburroni,TRUE,,,
https://github.com/victoresque/pytorch-template,FALSE,TRUE,6,135,818,159,https://api.github.com/users/SunQpark,TRUE,,,
https://github.com/LCAD-UFES/carmen_lcad,FALSE,TRUE,31,2722,33,15,https://api.github.com/users/albertodesouza,TRUE,,,
https://github.com/amdegroot/ssd.pytorch,FALSE,TRUE,7,328,1788,670,https://api.github.com/users/amdegroot,TRUE,,,
https://github.com/mozilla-b2g/gecko-tablet,FALSE,TRUE,310,201550,6,10,https://api.github.com/users/rvandermeulen,TRUE,,,
https://github.com/diana-hep/pyhf,FALSE,TRUE,5,364,52,14,https://api.github.com/users/lukasheinrich,TRUE,,,
https://github.com/vlimant/mpi_learn,FALSE,TRUE,8,369,32,13,https://api.github.com/users/vlimant,TRUE,,,
