project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select
https://github.com/plaidml/plaidml,FALSE,TRUE,14,674,1893,151,https://api.github.com/users/flaub,TRUE
https://github.com/pschwllr/MolecularTransformer,FALSE,TRUE,102,1980,10,2,https://api.github.com/users/srush,TRUE
https://github.com/pyannote/pyannote-audio,FALSE,TRUE,6,1279,332,68,https://api.github.com/users/hbredin,TRUE
https://github.com/r9y9/wavenet_vocoder,FALSE,TRUE,9,190,836,217,https://api.github.com/users/r9y9,TRUE
https://github.com/ragulpr/wtte-rnn,FALSE,TRUE,8,252,418,103,https://api.github.com/users/ragulpr,TRUE
https://github.com/RaRe-Technologies/gensim,FALSE,TRUE,311,3389,8666,3237,https://api.github.com/users/piskvorky,TRUE
https://github.com/RasaHQ/rasa_core,FALSE,TRUE,93,3783,1946,864,https://api.github.com/users/tmbo,TRUE
https://github.com/Rayhane-mamah/Tacotron-2,FALSE,TRUE,14,155,725,293,https://api.github.com/users/Rayhane-mamah,TRUE
https://github.com/riga/law,FALSE,TRUE,5,714,24,9,https://api.github.com/users/riga,TRUE
https://github.com/rlgraph/rlgraph,FALSE,TRUE,5,3737,71,6,https://api.github.com/users/sven1977,TRUE
https://github.com/rstudio/keras,FALSE,TRUE,23,1691,508,176,https://api.github.com/users/jjallaire,TRUE
https://github.com/rtavenar/tslearn,FALSE,TRUE,8,500,460,80,https://api.github.com/users/rtavenar,TRUE
https://github.com/SaltieRL/Saltie,FALSE,TRUE,20,1115,78,23,https://api.github.com/users/dtracers,TRUE
https://github.com/Sashulik/Detroit-Autonomous-Vehicle-Group,FALSE,TRUE,7,145,12,16,https://api.github.com/users/Sashulik,TRUE
https://github.com/sassoftware/python-dlpy,FALSE,TRUE,11,489,88,36,https://api.github.com/users/dlpysas,TRUE
https://github.com/scikit-learn-contrib/imbalanced-learn,FALSE,TRUE,35,582,3149,722,https://api.github.com/users/glemaitre,TRUE
https://github.com/sherpa-ai/sherpa,FALSE,TRUE,5,397,45,8,https://api.github.com/users/LarsHH,TRUE
https://github.com/slundberg/shap,FALSE,TRUE,36,651,3791,460,https://api.github.com/users/slundberg,TRUE
https://github.com/SmartDataAnalytics/horus-ner,FALSE,TRUE,8,211,40,4,https://api.github.com/users/diegoesteves,TRUE
https://github.com/stellargraph/stellargraph,FALSE,TRUE,13,928,290,34,https://api.github.com/users/youph,TRUE
https://github.com/studioml/studio,FALSE,TRUE,12,2061,269,38,https://api.github.com/users/pzhokhov,TRUE
https://github.com/SummaLabs/DLS,FALSE,TRUE,5,744,16,13,https://api.github.com/users/sergokov,TRUE
https://github.com/suragnair/alpha-zero-general,FALSE,TRUE,16,169,1158,301,https://api.github.com/users/suragnair,TRUE
https://github.com/TadasBaltrusaitis/OpenFace,FALSE,TRUE,17,715,3318,1141,https://api.github.com/users/TadasBaltrusaitis,TRUE
https://github.com/Tencent/FeatherCNN,FALSE,TRUE,11,328,831,215,https://api.github.com/users/turbo0628,TRUE
https://github.com/tensorflow/adanet,FALSE,TRUE,11,182,2373,323,https://api.github.com/users/cweill,TRUE
https://github.com/tensorflow/agents,FALSE,TRUE,13,189,134,17,https://api.github.com/users/sguada,TRUE
https://github.com/tensorflow/cleverhans,FALSE,TRUE,85,2645,3489,794,https://api.github.com/users/goodfeli,TRUE
https://github.com/tensorflow/probability,FALSE,TRUE,67,784,1766,353,https://api.github.com/users/csuter,TRUE
https://github.com/tensorflow/tpu,FALSE,TRUE,21,233,683,255,https://api.github.com/users/frankchn,TRUE
https://github.com/tensorlayer/tensorlayer,FALSE,TRUE,68,1901,4735,1099,https://api.github.com/users/zsdonghao,TRUE
https://github.com/tensorpack/tensorpack,FALSE,TRUE,39,2558,3684,1133,https://api.github.com/users/ppwwyyxx,TRUE
https://github.com/tensorspace-team/tensorspace,FALSE,TRUE,7,606,3597,293,https://api.github.com/users/syt123450,TRUE
https://github.com/tf-coreml/tf-coreml,FALSE,TRUE,17,205,896,118,https://api.github.com/users/slin07,TRUE
https://github.com/tflearn/tflearn,FALSE,TRUE,120,598,8952,2239,https://api.github.com/users/aymericdamien,TRUE
https://github.com/theislab/dca,FALSE,TRUE,5,352,75,15,https://api.github.com/users/gokceneraslan,TRUE
