project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select
https://github.com/onnxbot/onnx-fb-universe,FALSE,TRUE,15,3106,20,17,https://api.github.com/users/onnxbot,TRUE
https://github.com/onnx/tensorflow-onnx,FALSE,TRUE,15,611,137,47,https://api.github.com/users/guschmue,TRUE
https://github.com/onnx/onnx-coreml,FALSE,TRUE,12,526,165,33,https://api.github.com/users/onnxbot,TRUE
https://github.com/okfde/froide,FALSE,TRUE,12,3977,156,59,https://api.github.com/users/stefanw,TRUE
https://github.com/OHDSI/PatientLevelPrediction,FALSE,TRUE,12,486,51,36,https://api.github.com/users/jreps,TRUE
https://github.com/odlgroup/odl,FALSE,TRUE,17,4861,100,53,https://api.github.com/users/adler-j,TRUE
https://github.com/OAID/MXNet-HRT,FALSE,TRUE,360,5229,63,30,https://api.github.com/users/tqchen,TRUE
https://github.com/NVIDIA/DIGITS,FALSE,TRUE,42,1602,3548,1284,https://api.github.com/users/lukeyeager,TRUE
https://github.com/NVIDIA/DALI,FALSE,TRUE,22,386,1072,124,https://api.github.com/users/JanuszL,TRUE
https://github.com/numenta/htmresearch,FALSE,TRUE,28,4144,195,99,https://api.github.com/users/subutai,TRUE
https://github.com/neuro-ml/deep_pipe,FALSE,TRUE,10,739,10,5,https://api.github.com/users/Egor-Krivov,TRUE
https://github.com/Netherdrake/steem-python,FALSE,TRUE,8,223,17,16,https://api.github.com/users/Netherdrake,TRUE
https://github.com/NervanaSystems/neon,FALSE,TRUE,74,837,3725,832,https://api.github.com/users/scttl,TRUE
https://github.com/NervanaSystems/distiller,FALSE,TRUE,13,271,1386,243,https://api.github.com/users/nzmora,TRUE
https://github.com/nerox8664/pytorch2keras,FALSE,TRUE,6,233,273,38,https://api.github.com/users/nerox8664,TRUE
https://github.com/nearai/program_synthesis,FALSE,TRUE,5,224,76,9,https://api.github.com/users/rshin,TRUE
https://github.com/ncullen93/torchsample,FALSE,TRUE,10,102,1162,200,https://api.github.com/users/ncullen93,TRUE
https://github.com/nathanvogel/DeepMaps,FALSE,TRUE,26,307,19,1,https://api.github.com/users/junyanz,TRUE
https://github.com/mratsim/Arraymancer,FALSE,TRUE,13,701,393,37,https://api.github.com/users/mratsim,TRUE
https://github.com/mozillazg/pypy,FALSE,TRUE,195,43146,59,20,https://api.github.com/users/fijal,TRUE
https://github.com/mozilla/newtab-dev,FALSE,TRUE,200,176257,14,11,https://api.github.com/users/rvandermeulen,TRUE
https://github.com/mozilla-b2g/gecko-tablet,FALSE,TRUE,310,201550,6,10,https://api.github.com/users/rvandermeulen,TRUE
