project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,relevant_issues,relevant_commits
https://github.com/simonmeister/motion-rcnn,FALSE,TRUE,228,1120,42,15,https://api.github.com/users/nealwu,TRUE,0,41
https://github.com/zbigniewwojna/text-rcnn,FALSE,TRUE,221,960,11,4,https://api.github.com/users/nealwu,TRUE,0,36
https://github.com/CSTR-Edinburgh/merlin,FALSE,TRUE,23,363,812,297,https://api.github.com/users/ronanki,TRUE,0,36
https://github.com/tensorflow/probability,FALSE,TRUE,67,773,1757,349,https://api.github.com/users/csuter,TRUE,0,35
https://github.com/jparkhill/TensorMol,FALSE,TRUE,9,1704,138,37,https://api.github.com/users/jparkhill,TRUE,0,29
https://github.com/ucbrise/clipper,FALSE,TRUE,31,250,827,189,https://api.github.com/users/dcrankshaw,TRUE,0,28
https://github.com/kubeflow/pipelines,FALSE,TRUE,28,490,661,114,https://api.github.com/users/IronPan,TRUE,0,28
https://github.com/asyml/texar,FALSE,TRUE,17,1200,1030,141,https://api.github.com/users/ZhitingHu,TRUE,0,27
https://github.com/tensorflow/benchmarks,FALSE,TRUE,47,531,543,358,https://api.github.com/users/reedwm,TRUE,0,24
https://github.com/huggingface/pytorch-pretrained-BERT,FALSE,TRUE,40,509,3569,699,https://api.github.com/users/thomwolf,TRUE,0,23
https://github.com/Microsoft/EdgeML,FALSE,TRUE,13,355,550,108,https://api.github.com/users/metastableB,TRUE,0,21
https://github.com/openvax/mhcflurry,FALSE,TRUE,9,851,50,17,https://api.github.com/users/timodonnell,TRUE,0,21
https://github.com/onnx/onnx-tensorflow,FALSE,TRUE,15,290,329,83,https://api.github.com/users/tjingrant,TRUE,0,20
https://github.com/gkahn13/gcg,FALSE,TRUE,11,316,41,8,https://api.github.com/users/gkahn13,TRUE,0,19
https://github.com/nengo/nengo-dl,FALSE,TRUE,6,521,21,5,https://api.github.com/users/drasmuss,TRUE,0,19
https://github.com/tapanalyticstoolkit/spark-tk,FALSE,TRUE,17,326,11,14,https://api.github.com/users/blbarker,TRUE,0,16
https://github.com/calico/basenji,FALSE,TRUE,5,898,63,20,https://api.github.com/users/davek44,TRUE,0,15
https://github.com/mindgarage/Ovation,FALSE,TRUE,5,223,8,17,https://api.github.com/users/jcbgamboa,TRUE,0,13
https://github.com/tensorflow/lingvo,FALSE,TRUE,16,339,135,39,https://api.github.com/users/jonathanasdf,TRUE,0,12
https://github.com/ucloud/uai-sdk,FALSE,TRUE,6,166,18,20,https://api.github.com/users/FinchZHU,TRUE,0,12
https://github.com/IntelAI/nauta,FALSE,TRUE,18,937,274,29,https://api.github.com/users/jcchr,TRUE,0,12
https://github.com/geneing/parallel_wavenet_vocoder,FALSE,TRUE,6,183,19,3,https://api.github.com/users/r9y9,TRUE,0,11
https://github.com/junhyukoh/self-imitation-learning,FALSE,TRUE,41,129,153,21,https://api.github.com/users/joschu,TRUE,0,10
https://github.com/Calamari-OCR/calamari,FALSE,TRUE,5,141,201,62,https://api.github.com/users/ChWick,TRUE,0,10
https://github.com/dzhwinter/benchmark,FALSE,TRUE,10,219,3,13,https://api.github.com/users/dzhwinter,TRUE,0,9
https://github.com/miha-skalic/youtube8mchallenge,FALSE,TRUE,17,230,85,29,https://api.github.com/users/miha-skalic,TRUE,0,9
https://github.com/dask/dask-ml,FALSE,TRUE,31,497,439,99,https://api.github.com/users/TomAugspurger,TRUE,0,6
https://github.com/FragileTheory/FractalAI,FALSE,TRUE,5,274,12,1,https://api.github.com/users/Guillemdb,TRUE,0,6
https://github.com/deepmind/sonnet,FALSE,TRUE,21,404,7319,1002,https://api.github.com/users/a-googler,TRUE,0,3
https://github.com/yahoo/TensorFlowOnSpark,FALSE,TRUE,15,308,2943,767,https://api.github.com/users/leewyang,TRUE,0,3
https://github.com/dwiel/tensorflow_hmm,FALSE,TRUE,5,103,254,72,https://api.github.com/users/dwiel,TRUE,0,3
https://github.com/tensorflow/tpu,FALSE,TRUE,21,231,676,251,https://api.github.com/users/frankchn,TRUE,0,2
