project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select
https://github.com/PaddlePaddle/Paddle,FALSE,TRUE,183,21308,8156,2209,https://api.github.com/users/reyoung,TRUE
https://github.com/paninski-lab/yass,FALSE,TRUE,7,1040,26,9,https://api.github.com/users/edublancas,TRUE
https://github.com/plaidml/plaidml,FALSE,TRUE,14,674,1879,151,https://api.github.com/users/flaub,TRUE
https://github.com/PrincetonUniversity/PsyNeuLink,FALSE,TRUE,16,6612,25,7,https://api.github.com/users/jdcpni,TRUE
https://github.com/RasaHQ/rasa_core,FALSE,TRUE,93,3759,1910,858,https://api.github.com/users/tmbo,TRUE
https://github.com/rlgraph/rlgraph,FALSE,TRUE,5,3706,70,6,https://api.github.com/users/sven1977,TRUE
https://github.com/rlworkgroup/garage,FALSE,TRUE,42,389,222,31,https://api.github.com/users/dementrock,TRUE
https://github.com/rwth-i6/returnn,FALSE,TRUE,36,5991,156,74,https://api.github.com/users/albertz,TRUE
https://github.com/simonmeister/motion-rcnn,FALSE,TRUE,228,1120,42,15,https://api.github.com/users/nealwu,TRUE
https://github.com/spotify/spotify-tensorflow,FALSE,TRUE,9,278,60,12,https://api.github.com/users/ravwojdyla,TRUE
https://github.com/src-d/hercules,FALSE,TRUE,14,697,229,33,https://api.github.com/users/vmarkovtsev,TRUE
https://github.com/tapanalyticstoolkit/spark-tk,FALSE,TRUE,17,326,11,14,https://api.github.com/users/blbarker,TRUE
https://github.com/Tencent/FeatherCNN,FALSE,TRUE,10,314,823,212,https://api.github.com/users/turbo0628,TRUE
https://github.com/tensorflow/adanet,FALSE,TRUE,11,179,2360,322,https://api.github.com/users/cweill,TRUE
https://github.com/tensorflow/benchmarks,FALSE,TRUE,47,531,543,358,https://api.github.com/users/reedwm,TRUE
https://github.com/tensorflow/cleverhans,FALSE,TRUE,83,2627,3477,790,https://api.github.com/users/goodfeli,TRUE
https://github.com/tensorflow/datasets,FALSE,TRUE,22,489,510,65,https://api.github.com/users/rsepassi,TRUE
https://github.com/tensorflow/lingvo,FALSE,TRUE,16,339,135,39,https://api.github.com/users/jonathanasdf,TRUE
https://github.com/tensorflow/magenta,FALSE,TRUE,91,923,12251,2361,https://api.github.com/users/adarob,TRUE
https://github.com/tensorflow/probability,FALSE,TRUE,67,773,1757,349,https://api.github.com/users/csuter,TRUE
https://github.com/tensorflow/tensorboard,FALSE,TRUE,141,2086,3135,760,https://api.github.com/users/jart,TRUE
https://github.com/tensorflow/tpu,FALSE,TRUE,21,231,676,251,https://api.github.com/users/frankchn,TRUE
https://github.com/tensorforce/tensorforce,FALSE,TRUE,47,1624,2188,387,https://api.github.com/users/michaelschaarschmidt,TRUE
https://github.com/tensorlayer/tensorlayer,FALSE,TRUE,68,1901,4731,1096,https://api.github.com/users/zsdonghao,TRUE
https://github.com/tensorpack/tensorpack,FALSE,TRUE,39,2552,3670,1132,https://api.github.com/users/ppwwyyxx,TRUE
https://github.com/tf-coreml/tf-coreml,FALSE,TRUE,17,205,890,118,https://api.github.com/users/slin07,TRUE
https://github.com/thu-ml/zhusuan,FALSE,TRUE,13,167,1527,303,https://api.github.com/users/thjashin,TRUE
https://github.com/tobegit3hub/simple_tensorflow_serving,FALSE,TRUE,6,222,332,76,https://api.github.com/users/tobegit3hub,TRUE
https://github.com/twoolf/DaiWareToken,FALSE,TRUE,6,148,10,2,https://api.github.com/users/twoolf,TRUE
https://github.com/uber/ludwig,FALSE,TRUE,13,249,2732,228,https://api.github.com/users/w4nderlust,TRUE
https://github.com/uber/petastorm,FALSE,TRUE,9,303,395,61,https://api.github.com/users/selitvin,TRUE
https://github.com/Uberi/speech_recognition,FALSE,TRUE,35,333,3619,1248,https://api.github.com/users/Uberi,TRUE
https://github.com/ucbrise/clipper,FALSE,TRUE,31,250,827,189,https://api.github.com/users/dcrankshaw,TRUE
https://github.com/ucloud/uai-sdk,FALSE,TRUE,6,166,18,20,https://api.github.com/users/FinchZHU,TRUE
https://github.com/uTensor/uTensor,FALSE,TRUE,9,441,872,109,https://api.github.com/users/neil-tan,TRUE
https://github.com/wandb/client,FALSE,TRUE,12,1710,29,4,https://api.github.com/users/vanpelt,TRUE
https://github.com/wenwei202/iss-rnns,FALSE,TRUE,13,423,53,18,https://api.github.com/users/seominjoon,TRUE
https://github.com/XanaduAI/strawberryfields,FALSE,TRUE,9,148,216,40,https://api.github.com/users/josh146,TRUE
https://github.com/XiaoMi/mace,FALSE,TRUE,24,2340,3008,533,https://api.github.com/users/nolanliou,TRUE
https://github.com/yahoo/TensorFlowOnSpark,FALSE,TRUE,15,308,2943,767,https://api.github.com/users/leewyang,TRUE
https://github.com/yhat/yhat-client,FALSE,TRUE,12,364,28,12,https://api.github.com/users/glamp,TRUE
https://github.com/zbigniewwojna/text-rcnn,FALSE,TRUE,221,960,11,4,https://api.github.com/users/nealwu,TRUE
