project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,comment
https://github.com/tensorpack/tensorpack,FALSE,TRUE,39,2552,3670,1132,https://api.github.com/users/ppwwyyxx,TRUE,
https://github.com/rll/rllab,FALSE,TRUE,29,139,2010,633,https://api.github.com/users/dementrock,TRUE,
https://github.com/wenwei202/iss-rnns,FALSE,TRUE,13,423,53,18,https://api.github.com/users/seominjoon,TRUE,
https://github.com/horovod/horovod,FALSE,TRUE,35,219,5331,735,https://api.github.com/users/alsrgv,TRUE,
https://github.com/NervanaSystems/coach,FALSE,TRUE,22,389,1132,207,https://api.github.com/users/zach-nervana,TRUE,
https://github.com/miha-skalic/youtube8mchallenge,FALSE,TRUE,17,230,85,29,https://api.github.com/users/miha-skalic,TRUE,
https://github.com/ildoonet/tf-pose-estimation,FALSE,TRUE,11,190,1802,648,https://api.github.com/users/ildoonet,TRUE,
https://github.com/NervanaSystems/ngraph-python,FALSE,TRUE,67,4517,220,34,https://api.github.com/users/diyessi,TRUE,
https://github.com/Calamari-OCR/calamari,FALSE,TRUE,5,141,201,62,https://api.github.com/users/ChWick,TRUE,
https://github.com/benoitsteiner/tensorflow-opencl,FALSE,TRUE,381,20778,408,80,https://api.github.com/users/tensorflower-gardener,TRUE,
https://github.com/broadinstitute/keras-resnet,FALSE,TRUE,9,123,163,70,https://api.github.com/users/0x00b1,TRUE,
https://github.com/tensorforce/tensorforce,FALSE,TRUE,47,1624,2188,387,https://api.github.com/users/michaelschaarschmidt,TRUE,
https://github.com/tensorflow/tensorboard,FALSE,TRUE,141,2086,3135,760,https://api.github.com/users/jart,TRUE,
https://github.com/uTensor/uTensor,FALSE,TRUE,9,441,872,109,https://api.github.com/users/neil-tan,TRUE,
https://github.com/calico/basenji,FALSE,TRUE,5,898,63,20,https://api.github.com/users/davek44,TRUE,
https://github.com/bazelbuild/continuous-integration,FALSE,TRUE,38,1645,63,44,https://api.github.com/users/damienmg,TRUE,
https://github.com/tensorflow/magenta,FALSE,TRUE,91,923,12251,2361,https://api.github.com/users/adarob,TRUE,
https://github.com/youssefsharief/arabic-tacotron-tts,FALSE,TRUE,9,109,16,3,https://api.github.com/users/keithito,TRUE,
https://github.com/analysiscenter/batchflow,FALSE,TRUE,7,2097,97,25,https://api.github.com/users/roman-kh,TRUE,
https://github.com/tensorflow/tensorflow,FALSE,TRUE,379,44423,120798,72106,https://api.github.com/users/tensorflower-gardener,TRUE,
https://github.com/twoolf/DaiWareToken,FALSE,TRUE,6,148,10,2,https://api.github.com/users/twoolf,TRUE,
https://github.com/cbfinn/maml_rl,FALSE,TRUE,12,181,235,77,https://api.github.com/users/cbfinn,TRUE,
https://github.com/gheinrich/DIGITS-GAN,FALSE,TRUE,35,1482,92,34,https://api.github.com/users/lukeyeager,TRUE,
https://github.com/geneing/parallel_wavenet_vocoder,FALSE,TRUE,6,183,19,3,https://api.github.com/users/r9y9,TRUE,
https://github.com/nesl/RSTensorFlow,FALSE,TRUE,376,14105,13,8,https://api.github.com/users/tensorflower-gardener,TRUE,
https://github.com/ncent/ncent.github.io,FALSE,TRUE,17,784,13,9,https://api.github.com/users/nucat176,TRUE,
https://github.com/Tencent/FeatherCNN,FALSE,TRUE,10,314,823,212,https://api.github.com/users/turbo0628,TRUE,
https://github.com/MarcBS/multimodal_keras_wrapper,FALSE,TRUE,6,982,17,19,https://api.github.com/users/lvapeab,TRUE,
https://github.com/awslabs/deeplearning-benchmark,FALSE,TRUE,16,136,93,56,https://api.github.com/users/vishaalkapoor,TRUE,
https://github.com/Lab41/attalos,FALSE,TRUE,12,525,91,38,https://api.github.com/users/ymt123,TRUE,
https://github.com/uber/ludwig,FALSE,TRUE,13,249,2732,228,https://api.github.com/users/w4nderlust,TRUE,
https://github.com/GoogleCloudPlatform/tensorflow-without-a-phd,FALSE,TRUE,10,308,1241,442,https://api.github.com/users/martin-gorner,TRUE,
https://github.com/tensorflow/lingvo,FALSE,TRUE,16,339,135,39,https://api.github.com/users/jonathanasdf,TRUE,
https://github.com/dask/dask-ml,FALSE,TRUE,31,497,439,99,https://api.github.com/users/TomAugspurger,TRUE,
https://github.com/HyperGAN/HyperGAN,FALSE,TRUE,9,2737,888,137,https://api.github.com/users/martyn,TRUE,
https://github.com/darksigma/Fundamentals-of-Deep-Learning-Book,FALSE,TRUE,5,154,488,220,https://api.github.com/users/darksigma,TRUE,
https://github.com/ctuning/ck-env,FALSE,TRUE,12,1738,49,12,https://api.github.com/users/gfursin,TRUE,
https://github.com/GoogleCloudPlatform/cloudml-samples,FALSE,TRUE,47,739,883,525,https://api.github.com/users/gogasca,TRUE,
https://github.com/dpressel/baseline,FALSE,TRUE,7,1118,198,48,https://api.github.com/users/dpressel,TRUE,
https://github.com/Azure/azure-sdk-for-python,FALSE,TRUE,110,3626,686,548,https://api.github.com/users/lmazuel,TRUE,
https://github.com/tensorflow/adanet,FALSE,TRUE,11,179,2360,322,https://api.github.com/users/cweill,TRUE,
https://github.com/VLOGroup/tensorflow-icg,FALSE,TRUE,380,22914,12,4,https://api.github.com/users/tensorflower-gardener,TRUE,
https://github.com/DeepBCI/Deep-BCI,FALSE,TRUE,13,187,73,64,https://api.github.com/users/SeungTaeYang-DGIST,TRUE,
https://github.com/IntelAI/nauta,FALSE,TRUE,18,937,274,29,https://api.github.com/users/jcchr,TRUE,
https://github.com/paninski-lab/yass,FALSE,TRUE,7,1040,26,9,https://api.github.com/users/edublancas,TRUE,
https://github.com/ucloud/uai-sdk,FALSE,TRUE,6,166,18,20,https://api.github.com/users/FinchZHU,TRUE,
https://github.com/sisl/gail-driver,FALSE,TRUE,10,225,38,24,https://api.github.com/users/akuefler,TRUE,
https://github.com/mil-tokyo/webdnn,FALSE,TRUE,11,1238,1541,124,https://api.github.com/users/Kiikurage,TRUE,
https://github.com/yhat/yhat-client,FALSE,TRUE,12,364,28,12,https://api.github.com/users/glamp,TRUE,
https://github.com/spotify/spotify-tensorflow,FALSE,TRUE,9,278,60,12,https://api.github.com/users/ravwojdyla,TRUE,
https://github.com/NervanaSystems/nlp-architect,FALSE,TRUE,23,579,1779,260,https://api.github.com/users/peteriz,TRUE,
https://github.com/mozilla/DeepSpeech,FALSE,TRUE,63,1193,9286,1640,https://api.github.com/users/reuben,TRUE,
https://github.com/Microsoft/ELL,FALSE,TRUE,15,3361,1943,268,https://api.github.com/users/cjacobs,TRUE,
https://github.com/broadinstitute/keras-rcnn,FALSE,TRUE,15,649,408,159,https://api.github.com/users/0x00b1,TRUE,
https://github.com/junhyukoh/self-imitation-learning,FALSE,TRUE,41,129,153,21,https://api.github.com/users/joschu,TRUE,
https://github.com/unarxiv/CVTron,FALSE,TRUE,8,239,89,13,https://api.github.com/users/xzyaoi,TRUE,
https://github.com/plaidml/plaidml,FALSE,TRUE,14,674,1879,151,https://api.github.com/users/flaub,TRUE,
