project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,comment,
https://github.com/Kismuz/btgym,FALSE,TRUE,5,610,368,117,https://api.github.com/users/Kismuz,TRUE,,
https://github.com/marco-c/autowebcompat,FALSE,TRUE,24,193,31,45,https://api.github.com/users/marco-c,TRUE,,
https://github.com/openvax/mhcflurry,FALSE,TRUE,9,851,50,17,https://api.github.com/users/timodonnell,TRUE,,
https://github.com/studioml/studio,FALSE,TRUE,12,2061,269,38,https://api.github.com/users/pzhokhov,TRUE,,
https://github.com/vlimant/mpi_learn,FALSE,TRUE,8,369,32,13,https://api.github.com/users/vlimant,TRUE,,
https://github.com/asyml/texar,FALSE,TRUE,17,1204,1046,144,https://api.github.com/users/ZhitingHu,TRUE,,
https://github.com/Gravity-Spy/GravitySpy,FALSE,TRUE,9,501,2,13,https://api.github.com/users/scottcoughlin2014,TRUE,,
https://github.com/Hironsan/anago,FALSE,TRUE,8,289,995,265,https://api.github.com/users/Hironsan,TRUE,,
https://github.com/flatironinstitute/CaImAn,FALSE,TRUE,24,2497,200,142,https://api.github.com/users/agiovann,TRUE,,
https://github.com/SaltieRL/Saltie,FALSE,TRUE,20,1115,78,23,https://api.github.com/users/dtracers,TRUE,,
https://github.com/matterport/Mask_RCNN,FALSE,TRUE,38,186,10374,4426,https://api.github.com/users/waleedka,TRUE,,
https://github.com/dataiku/dataiku-contrib,FALSE,TRUE,25,408,43,33,https://api.github.com/users/cstenac,TRUE,,
https://github.com/rstudio/keras,FALSE,TRUE,23,1691,508,176,https://api.github.com/users/jjallaire,TRUE,,
https://github.com/maxpumperla/hyperas,FALSE,TRUE,17,185,1436,226,https://api.github.com/users/maxpumperla,TRUE,,
https://github.com/aws/sagemaker-python-sdk,FALSE,TRUE,60,387,485,211,https://api.github.com/users/laurenyu,TRUE,,
https://github.com/DL4Jets/DeepJet,FALSE,TRUE,9,405,2,17,https://api.github.com/users/jkiesele,TRUE,,
https://github.com/Lab41/d-script,FALSE,TRUE,5,149,11,10,https://api.github.com/users/pcallier,TRUE,Archived by the owner, read-only; no proper description
https://github.com/tensorflow/models,FALSE,TRUE,394,2927,48604,29688,https://api.github.com/users/nealwu,TRUE,Example Models and Tensorflow Tutorials,
https://github.com/neptune-ml/open-solution-mapping-challenge,FALSE,TRUE,7,198,103,28,https://api.github.com/users/apyskir,TRUE,Kaggle Competition,
https://github.com/ijmarshall/robotreviewer3,FALSE,TRUE,7,522,35,18,https://api.github.com/users/ijmarshall,TRUE,,
https://github.com/mlperf/inference,FALSE,TRUE,17,124,45,26,https://api.github.com/users/jveejay,TRUE,No proper decsription,
https://github.com/6-Billionaires/trading-agent,FALSE,TRUE,8,123,28,6,https://api.github.com/users/verystrongjoe,TRUE,,
https://github.com/tflearn/tflearn,FALSE,TRUE,120,598,8952,2239,https://api.github.com/users/aymericdamien,TRUE,,
https://github.com/nanoporetech/medaka,FALSE,TRUE,5,333,28,1,https://api.github.com/users/cjw85,TRUE,,
https://github.com/freesurfer/freesurfer,FALSE,TRUE,47,22329,87,98,https://api.github.com/users/dngreve,TRUE,,
https://github.com/mortendahl/tf-encrypted,FALSE,TRUE,10,299,187,29,https://api.github.com/users/mortendahl,TRUE,,
https://github.com/interactiveaudiolab/nussl,FALSE,TRUE,8,306,160,32,https://api.github.com/users/ethman,TRUE,,
https://github.com/baidu-research/tensorflow-allreduce,FALSE,TRUE,371,17227,238,47,https://api.github.com/users/tensorflower-gardener,TRUE,Tensorflow itself,
https://github.com/Microsoft/MMdnn,FALSE,TRUE,54,951,3100,613,https://api.github.com/users/kitstar,TRUE,,
https://github.com/NervanaSystems/topologies,FALSE,TRUE,8,441,13,8,https://api.github.com/users/tonyreina,TRUE,,
https://github.com/Hacktoberfest-2018/Hello-world,FALSE,TRUE,460,6086,1482,3642,https://api.github.com/users/Aniket965,TRUE,Hactoberfest, something to win a T-SHIRT
https://github.com/rtavenar/tslearn,FALSE,TRUE,8,500,460,80,https://api.github.com/users/rtavenar,TRUE,,
https://github.com/hls-fpga-machine-learning/hls4ml,FALSE,TRUE,9,296,122,35,https://api.github.com/users/nhanvtran,TRUE,,
https://github.com/NervanaSystems/ngraph-tf,FALSE,TRUE,26,623,45,12,https://api.github.com/users/avijit-nervana,TRUE,,
https://github.com/epam/DLab,FALSE,TRUE,19,4411,69,19,https://api.github.com/users/OlehMartushevskyi,TRUE,,
https://github.com/pyannote/pyannote-audio,FALSE,TRUE,6,1279,332,68,https://api.github.com/users/hbredin,TRUE,,
https://github.com/albu/albumentations,FALSE,TRUE,19,346,1710,203,https://api.github.com/users/albu,TRUE,,
https://github.com/yahoo/TensorFlowOnSpark,FALSE,TRUE,15,308,2952,766,https://api.github.com/users/leewyang,TRUE,,
https://github.com/yzhao062/pyod,FALSE,TRUE,5,695,1412,279,https://api.github.com/users/yzhao062,TRUE,,
https://github.com/tensorflow/cleverhans,FALSE,TRUE,85,2645,3489,794,https://api.github.com/users/goodfeli,TRUE,,
https://github.com/tensorspace-team/tensorspace,FALSE,TRUE,7,606,3597,293,https://api.github.com/users/syt123450,TRUE,,
https://github.com/dask/distributed,FALSE,TRUE,121,2836,733,282,https://api.github.com/users/mrocklin,TRUE,,
https://github.com/hse-aml/intro-to-dl,FALSE,TRUE,8,162,361,286,https://api.github.com/users/ZEMUSHKA,TRUE,Intro to DL Course Resources,
https://github.com/uw-cmg/MAST-ML,FALSE,TRUE,14,2304,13,11,https://api.github.com/users/cmgtam,TRUE,,
https://github.com/wandb/client,FALSE,TRUE,12,1710,29,4,https://api.github.com/users/vanpelt,TRUE,,
https://github.com/deepmipt/DeepPavlov,FALSE,TRUE,26,2210,2748,460,https://api.github.com/users/dilyararimovna,TRUE,,
https://github.com/sshleifer/object_detection_kitti,FALSE,TRUE,243,1171,15,13,https://api.github.com/users/nealwu,TRUE,The project is not being maintained,
https://github.com/peterwittek/qml-rg,FALSE,TRUE,11,347,94,57,https://api.github.com/users/peterwittek,TRUE,Repo for a Reading Group,
https://github.com/broadinstitute/gatk,FALSE,TRUE,81,3697,560,223,https://api.github.com/users/akiezun,TRUE,,
https://github.com/tensorflow/tpu,FALSE,TRUE,21,233,683,255,https://api.github.com/users/frankchn,TRUE,,
https://github.com/nyoka-pmml/nyoka,FALSE,TRUE,11,155,38,8,https://api.github.com/users/Nirmal-Neel,TRUE,,
https://github.com/Cloud-CV/Fabrik,FALSE,TRUE,44,290,977,242,https://api.github.com/users/utsavgarg,TRUE,,
https://github.com/slundberg/shap,FALSE,TRUE,36,651,3791,460,https://api.github.com/users/slundberg,TRUE,,
https://github.com/alphagov/govuk-taxonomy-supervised-learning,FALSE,TRUE,10,632,14,1,https://api.github.com/users/ellieking17,TRUE,,
https://github.com/hjkgrp/molSimplify,FALSE,TRUE,12,300,18,10,https://api.github.com/users/chenruduan,TRUE,,
https://github.com/henryyang42/NTU-Course-Bot,FALSE,TRUE,6,607,10,3,https://api.github.com/users/henryyang42,TRUE,,
https://github.com/ragulpr/wtte-rnn,FALSE,TRUE,8,252,418,103,https://api.github.com/users/ragulpr,TRUE,,
https://github.com/instacart/lore,FALSE,TRUE,15,247,1323,107,https://api.github.com/users/montanalow,TRUE,,
https://github.com/Rochester-NRT/RocAlphaGo,FALSE,TRUE,14,443,8905,2490,https://api.github.com/users/wrongu,TRUE,Replication of Publication,
https://github.com/onnx/onnxmltools,FALSE,TRUE,17,143,205,52,https://api.github.com/users/wschin,TRUE,,
https://github.com/databricks/spark-deep-learning,FALSE,TRUE,13,113,1292,325,https://api.github.com/users/mengxr,TRUE,,
https://github.com/pmservice/wml-sample-models,FALSE,TRUE,14,362,21,36,https://api.github.com/users/LukaszCmielowski,TRUE,IBM Watson Sample Models,
https://github.com/benoitsteiner/tensorflow-opencl,FALSE,TRUE,381,20778,408,80,https://api.github.com/users/tensorflower-gardener,TRUE,Tensorflow itself,
https://github.com/bostondiditeam/MV3D,FALSE,TRUE,11,529,212,108,https://api.github.com/users/zxf8665905,TRUE,Implementation of a network from a paper,
https://github.com/kundajelab/deeplift,FALSE,TRUE,8,476,265,70,https://api.github.com/users/AvantiShri,TRUE,,
https://github.com/arogozhnikov/hep_ml,FALSE,TRUE,6,324,103,33,https://api.github.com/users/arogozhnikov,TRUE,,
https://github.com/A2Zadeh/CE-CLM,FALSE,TRUE,12,264,34,10,https://api.github.com/users/TadasBaltrusaitis,TRUE,,
https://github.com/tensorflow/tensorflow,FALSE,TRUE,380,44729,121013,72201,https://api.github.com/users/tensorflower-gardener,TRUE,Tensorflow itself,
https://github.com/doordash/auto_ml,FALSE,TRUE,8,684,10,2,https://api.github.com/users/ClimbsRocks,TRUE,,
https://github.com/geneing/parallel_wavenet_vocoder,FALSE,TRUE,6,183,19,3,https://api.github.com/users/r9y9,TRUE,,
https://github.com/minimaxir/textgenrnn,FALSE,TRUE,7,128,2006,274,https://api.github.com/users/minimaxir,TRUE,,
https://github.com/brmson/dataset-sts,FALSE,TRUE,5,574,425,136,https://api.github.com/users/pasky,TRUE,,
https://github.com/philipperemy/keras-tcn,FALSE,TRUE,5,116,278,85,https://api.github.com/users/philipperemy,TRUE,Keras for Temporal Convolutional Networks,
